cik,gvkey,conm,DATADATE1,DATADATE2,SOURCE,coname,FNDATE,LNDATE,N10K,N10K_NT,N10K_A,N10Q,N10Q_NT,N10Q_A,NDEF,N8K,NTOT,FLAG
0001249224,002055,BARRICK GOLD CORP,31DEC1983,31DEC2018,FDATE,BARRICK GOLD INC,27JUN2003,10NOV2004,0,0,0,0,0,0,0,0,6,3
0001347178,002222,SAVIENT PHARMACEUTICALS INC,31DEC1983,31DEC2012,CUSIP,VANDA PHARMACEUTICALS INC.,29DEC2005,04FEB2020,15,0,2,41,0,0,27,213,936,3
0000012400,002259,BLACK HILLS CORP,31OCT1958,31DEC2018,CUSIP,BLACK HILLS POWER INC,14FEB1994,06AUG2019,31,0,5,86,1,8,6,25,195,3
0000012400,002259,BLACK HILLS CORP,31OCT1958,31DEC2018,CUSIP,BLACK HILLS POWER INC,14FEB1994,06AUG2019,31,0,5,86,1,8,6,25,195,3
0001443646,002314,BOOZ ALLEN & HAMILTON INC,30SEP1969,30SEP1975,COMPH,BOOZ ALLEN HAMILTON HOLDING CORP,19AUG2008,05FEB2020,10,0,1,28,0,2,27,117,808,3
0001443646,002314,BOOZ ALLEN & HAMILTON INC,30SEP1969,30SEP1975,COMPH,BOOZ ALLEN HAMILTON HOLDING CORP,19AUG2008,05FEB2020,10,0,1,28,0,2,27,117,808,3
0000013372,002328,NSTAR,31DEC1951,31DEC2011,CUSIP,NSTAR ELECTRIC CO,27JAN1994,06AUG2019,29,1,3,79,0,2,6,83,287,3
0000013372,002328,NSTAR,31DEC1951,31DEC2011,CUSIP,NSTAR ELECTRIC CO,27JAN1994,06AUG2019,29,1,3,79,0,2,6,83,287,3
0000721693,002332,BOULDER BREWING CO,31DEC1981,31DEC1989,FDATE,CHINA RECYCLING ENERGY CORP,06DEC2000,08JAN2020,42,6,14,94,12,16,19,155,592,2
0000721693,002332,BOULDER BREWING CO,31DEC1981,31DEC1989,FDATE,CHINA RECYCLING ENERGY CORP,06DEC2000,08JAN2020,42,6,14,94,12,16,19,155,592,2
0000721693,002332,BOULDER BREWING CO,31DEC1981,31DEC1989,FDATE,CHINA RECYCLING ENERGY CORP,06DEC2000,08JAN2020,42,6,14,94,12,16,19,155,592,2
0000721693,002332,BOULDER BREWING CO,31DEC1981,31DEC1989,FDATE,CHINA RECYCLING ENERGY CORP,06DEC2000,08JAN2020,42,6,14,94,12,16,19,155,592,2
0001403231,002370,BRASS-CRAFT MFG,31DEC1971,31DEC1981,COMPH,CADUCEUS SOFTWARE SYSTEMS CORP.,12JUL2007,28NOV2016,13,6,2,30,6,7,1,20,96,2
0001403231,002370,BRASS-CRAFT MFG,31DEC1971,31DEC1981,COMPH,CADUCEUS SOFTWARE SYSTEMS CORP.,12JUL2007,28NOV2016,13,6,2,30,6,7,1,20,96,2
0001403231,002370,BRASS-CRAFT MFG,31DEC1971,31DEC1981,COMPH,CADUCEUS SOFTWARE SYSTEMS CORP.,12JUL2007,28NOV2016,13,6,2,30,6,7,1,20,96,2
0001497246,002468,BULLION MONARCH CO,30APR1977,30APR1984,FDATE,"BULLION MONARCH MINING, INC. (NEW)",23JUL2010,22AUG2012,4,2,0,6,1,0,2,21,67,3
0001376742,002560,CVN COMPANIES INC,31DEC1979,31AUG1988,COMPH,CAVICO CORP,25SEP2006,12AUG2013,9,3,3,20,4,7,2,23,100,2
0000017485,002748,CARDIFF COMMUNICATIONS-OLD,31DEC1977,31DEC1990,COMPH,"LIBERATOR MEDICAL HOLDINGS, INC.",06OCT1999,01FEB2016,31,7,7,72,14,10,14,103,431,2
0000017485,002748,CARDIFF COMMUNICATIONS-OLD,31DEC1977,31DEC1990,COMPH,"LIBERATOR MEDICAL HOLDINGS, INC.",06OCT1999,01FEB2016,31,7,7,72,14,10,14,103,431,2
0000017797,002783,PROGRESS ENERGY INC,31DEC1951,31DEC2018,CUSIP,"DUKE ENERGY PROGRESS, LLC.",14JAN1994,02JAN2020,28,0,2,81,0,3,19,183,464,2
0000017797,002783,PROGRESS ENERGY INC,31DEC1951,31DEC2018,CUSIP,"DUKE ENERGY PROGRESS, LLC.",14JAN1994,02JAN2020,28,0,2,81,0,3,19,183,464,2
0000017797,002783,PROGRESS ENERGY INC,31DEC1951,31DEC2018,CUSIP,"DUKE ENERGY PROGRESS, LLC.",14JAN1994,02JAN2020,28,0,2,81,0,3,19,183,464,2
0000018647,002856,CH ENERGY GROUP INC,31DEC1951,31DEC2012,FDATE,CENTRAL HUDSON GAS & ELECTRIC CORP,05JAN1994,26JUN2013,27,0,7,65,0,7,8,74,247,2
0000018675,002860,CMP GROUP INC,31DEC1951,31DEC1999,CUSIP,CENTRAL MAINE POWER CO,07JAN1994,20JUN2005,19,0,8,34,0,0,16,40,196,2
0001328790,002958,CHEM-NUCLEAR SYSTEMS INC,31JUL1974,31JUL1981,COMPH,CHINA MEDICINE CORP,23JUN2005,17FEB2015,8,3,0,25,5,3,5,47,194,2
0001328790,002958,CHEM-NUCLEAR SYSTEMS INC,31JUL1974,31JUL1981,COMPH,CHINA MEDICINE CORP,23JUN2005,17FEB2015,8,3,0,25,5,3,5,47,194,2
0000020520,003078,CITIZENS COMMUN  -SER B OLD,31DEC1973,31DEC1999,CUSIP,FRONTIER COMMUNICATIONS CORP,05JAN1994,06FEB2020,33,0,7,86,0,8,37,548,2708,2
0000020520,003078,CITIZENS COMMUN  -SER B OLD,31DEC1973,31DEC1999,CUSIP,FRONTIER COMMUNICATIONS CORP,05JAN1994,06FEB2020,33,0,7,86,0,8,37,548,2708,2
0000020520,003078,CITIZENS COMMUN  -SER B OLD,31DEC1973,31DEC1999,CUSIP,FRONTIER COMMUNICATIONS CORP,05JAN1994,06FEB2020,33,0,7,86,0,8,37,548,2708,2
0001362516,003325,COMPUTER LANGUAGE RESEARCH,31DEC1982,31DEC1996,COMPH,"CLEARTRONIC, INC.",03JUL2006,30DEC2019,25,11,2,53,12,7,0,45,169,2
0001362516,003325,COMPUTER LANGUAGE RESEARCH,31DEC1982,31DEC1996,COMPH,"CLEARTRONIC, INC.",03JUL2006,30DEC2019,25,11,2,53,12,7,0,45,169,2
0000023632,003413,CONSOLIDATED EDISON INC,31DEC1951,31DEC2018,CUSIP,CONSOLIDATED EDISON CO OF NEW YORK INC,09FEB1994,02JAN2020,25,0,0,79,0,1,25,197,508,3
0001085734,003491,BLOCKBUSTER ENMNT CORP,31DEC1982,31DEC1993,CUSIP,BLOCKBUSTER INC,06MAY1999,10JAN2012,15,3,0,35,0,0,47,169,1101,3
0000759718,003500,BERKSHIRE BANCORP INC-OLD,31OCT1984,31OCT1998,CUSIP,BERKSHIRE BANCORP INC /DE/,10MAR1995,02JAN2014,25,3,3,63,5,2,17,30,290,3
0000759718,003500,BERKSHIRE BANCORP INC-OLD,31OCT1984,31OCT1998,CUSIP,BERKSHIRE BANCORP INC /DE/,10MAR1995,02JAN2014,25,3,3,63,5,2,17,30,290,3
0000225211,003515,INTELLIGENT COMM ENTR -OLD,31DEC1982,31DEC2011,CUSIP,TOUCHPOINT GROUP HOLDINGS INC.,23OCT1995,17DEC2019,47,13,10,108,17,17,22,449,844,2
0000225211,003515,INTELLIGENT COMM ENTR -OLD,31DEC1982,31DEC2011,CUSIP,TOUCHPOINT GROUP HOLDINGS INC.,23OCT1995,17DEC2019,47,13,10,108,17,17,22,449,844,2
0000225211,003515,INTELLIGENT COMM ENTR -OLD,31DEC1982,31DEC2011,CUSIP,TOUCHPOINT GROUP HOLDINGS INC.,23OCT1995,17DEC2019,47,13,10,108,17,17,22,449,844,2
0000225211,003515,INTELLIGENT COMM ENTR -OLD,31DEC1982,31DEC2011,CUSIP,TOUCHPOINT GROUP HOLDINGS INC.,23OCT1995,17DEC2019,47,13,10,108,17,17,22,449,844,2
0000225211,003515,INTELLIGENT COMM ENTR -OLD,31DEC1982,31DEC2011,CUSIP,TOUCHPOINT GROUP HOLDINGS INC.,23OCT1995,17DEC2019,47,13,10,108,17,17,22,449,844,2
0000225211,003515,INTELLIGENT COMM ENTR -OLD,31DEC1982,31DEC2011,CUSIP,TOUCHPOINT GROUP HOLDINGS INC.,23OCT1995,17DEC2019,47,13,10,108,17,17,22,449,844,2
0000026537,003711,SENSYTECH INC,31JUL1974,30SEP2003,FDATE,"ARGON ST, INC.",13JUN1995,14FEB2011,18,0,3,49,1,1,17,81,504,2
0000026537,003711,SENSYTECH INC,31JUL1974,30SEP2003,FDATE,"ARGON ST, INC.",13JUN1995,14FEB2011,18,0,3,49,1,1,17,81,504,2
0000026537,003711,SENSYTECH INC,31JUL1974,30SEP2003,FDATE,"ARGON ST, INC.",13JUN1995,14FEB2011,18,0,3,49,1,1,17,81,504,2
0000026537,003711,SENSYTECH INC,31JUL1974,30SEP2003,FDATE,"ARGON ST, INC.",13JUN1995,14FEB2011,18,0,3,49,1,1,17,81,504,2
0000027879,003848,CONECTIV INC,31DEC1951,31DEC2002,CUSIP,DELMARVA POWER & LIGHT CO /DE/,22MAR1994,12DEC2019,29,0,3,82,0,4,12,115,340,2
0001001039,003980,DISNEY (WALT) CO,30SEP1950,30SEP2019,FDATE,TWDC ENTERPRISES 18 CORP.,20SEP1995,05SEP2019,38,0,15,73,0,3,63,258,2347,2
0001001039,003980,DISNEY (WALT) CO,30SEP1950,30SEP2019,FDATE,TWDC ENTERPRISES 18 CORP.,20SEP1995,05SEP2019,38,0,15,73,0,3,63,258,2347,2
0001001039,003980,DISNEY (WALT) CO,30SEP1950,30SEP2019,FDATE,TWDC ENTERPRISES 18 CORP.,20SEP1995,05SEP2019,38,0,15,73,0,3,63,258,2347,2
0001381531,004034,DOMTAR INC,31DEC1950,31DEC2006,CUSIP,DOMTAR CORP,21NOV2006,04FEB2020,13,0,1,39,1,0,24,135,1936,3
0001059556,004094,DUN & BRADSTREET CORP,31DEC1963,31DEC2017,CUSIP,MOODYS CORP /DE/,16APR1998,05FEB2020,22,0,1,65,0,1,47,155,1633,2
0001059556,004094,DUN & BRADSTREET CORP,31DEC1963,31DEC2017,CUSIP,MOODYS CORP /DE/,16APR1998,05FEB2020,22,0,1,65,0,1,47,155,1633,2
0001059556,004094,DUN & BRADSTREET CORP,31DEC1963,31DEC2017,CUSIP,MOODYS CORP /DE/,16APR1998,05FEB2020,22,0,1,65,0,1,47,155,1633,2
0000031986,004242,EL PASO CORP,31DEC1973,31DEC2011,CUSIP,EL PASO NATURAL GAS CO LLC,10JAN1994,26FEB2018,22,0,3,57,0,2,10,45,229,2
0000031986,004242,EL PASO CORP,31DEC1973,31DEC2011,CUSIP,EL PASO NATURAL GAS CO LLC,10JAN1994,26FEB2018,22,0,3,57,0,2,10,45,229,2
0000317477,004254,ELDORADO FINANCIAL GROUP,31DEC1983,31DEC1984,FDATE,COMPOSITE TECHNOLOGY CORP,09JUN2000,12DEC2014,25,4,10,61,10,17,11,109,387,2
0000317477,004254,ELDORADO FINANCIAL GROUP,31DEC1983,31DEC1984,FDATE,COMPOSITE TECHNOLOGY CORP,09JUN2000,12DEC2014,25,4,10,61,10,17,11,109,387,2
0000704384,004349,CELLEX BIOSCIENCES INC,30SEP1984,30SEP1997,FDATE,BIOVEST INTERNATIONAL INC,14AUG2000,04OCT2017,27,7,6,62,17,3,8,133,480,2
0000704384,004349,CELLEX BIOSCIENCES INC,30SEP1984,30SEP1997,FDATE,BIOVEST INTERNATIONAL INC,14AUG2000,04OCT2017,27,7,6,62,17,3,8,133,480,2
0000065031,004362,ENERGY RESERVE INC,31DEC1976,31DEC1985,CUSIP,COX TECHNOLOGIES INC,06NOV1997,28APR2005,11,3,0,36,11,1,7,15,97,2
0000065031,004362,ENERGY RESERVE INC,31DEC1976,31DEC1985,CUSIP,COX TECHNOLOGIES INC,06NOV1997,28APR2005,11,3,0,36,11,1,7,15,97,2
0000893739,004424,HARRIS & HARRIS GROUP-OLD,31DEC1983,31DEC1991,CUSIP,180 DEGREE CAPITAL CORP. /NY/,29AUG1995,28JAN2020,22,0,0,65,0,1,38,220,1551,2
0000893739,004424,HARRIS & HARRIS GROUP-OLD,31DEC1983,31DEC1991,CUSIP,180 DEGREE CAPITAL CORP. /NY/,29AUG1995,28JAN2020,22,0,0,65,0,1,38,220,1551,2
0001373988,004459,ESSEX SYSTEMS INC,31DEC1968,31DEC1972,COMPH,ESSEX RENTAL CORP.,06NOV2006,30MAR2016,12,2,2,34,1,6,26,138,545,2
0001373988,004459,ESSEX SYSTEMS INC,31DEC1968,31DEC1972,COMPH,ESSEX RENTAL CORP.,06NOV2006,30MAR2016,12,2,2,34,1,6,26,138,545,2
0001373988,004459,ESSEX SYSTEMS INC,31DEC1968,31DEC1972,COMPH,ESSEX RENTAL CORP.,06NOV2006,30MAR2016,12,2,2,34,1,6,26,138,545,2
0000230211,004598,FEDEX CORP,31MAY1978,31MAY2019,CUSIP,FEDERAL EXPRESS CORP,14JAN1994,15NOV2019,22,0,0,70,0,2,5,138,395,2
0000316128,004773,FLEXWEIGHT CORP-OLD,31AUG1978,31AUG1984,CUSIP,OASIS RESORTS INTERNATIONAL INC /NV,13JAN1998,30JUL2004,8,3,1,23,7,5,2,5,60,2
0000316128,004773,FLEXWEIGHT CORP-OLD,31AUG1978,31AUG1984,CUSIP,OASIS RESORTS INTERNATIONAL INC /NV,13JAN1998,30JUL2004,8,3,1,23,7,5,2,5,60,2
0000038079,004844,FOREST OIL CORP -OLD,31DEC1968,31DEC2013,CUSIP,SABINE OIL & GAS CORP,14JAN1994,11AUG2016,32,1,8,72,2,4,48,357,1439,2
0000038079,004844,FOREST OIL CORP -OLD,31DEC1968,31DEC2013,CUSIP,SABINE OIL & GAS CORP,14JAN1994,11AUG2016,32,1,8,72,2,4,48,357,1439,2
0001355042,004863,FOSTER MEDICAL CORP,31DEC1981,31DEC1983,COMPH,CHINA AUTO LOGISTICS INC,07MAR2006,09OCT2018,15,4,1,35,2,1,10,72,211,2
0001355042,004863,FOSTER MEDICAL CORP,31DEC1981,31DEC1983,COMPH,CHINA AUTO LOGISTICS INC,07MAR2006,09OCT2018,15,4,1,35,2,1,10,72,211,2
0001393283,005048,GENERAL ELECTRIC CAP CORP,31DEC1974,31DEC2014,COMPH,NORTH AMERICAN GOLD & MINERALS FUND,20MAR2007,24MAY2012,5,1,1,15,4,0,0,25,69,2
0001393283,005048,GENERAL ELECTRIC CAP CORP,31DEC1974,31DEC2014,COMPH,NORTH AMERICAN GOLD & MINERALS FUND,20MAR2007,24MAY2012,5,1,1,15,4,0,0,25,69,2
0000041023,005129,GEORESOURCES INC -OLD,31DEC1975,31DEC2006,CUSIP,GEORESOURCES INC,18MAY1995,31AUG2012,24,0,7,60,0,7,23,136,615,3
0001385799,005136,GEOS CORP,31JAN1974,31JAN1983,COMPH,ADVANCED BIOMEDICAL TECHNOLOGIES INC.,16JAN2007,20SEP2019,26,10,4,71,25,7,0,13,133,2
0001385799,005136,GEOS CORP,31JAN1974,31JAN1983,COMPH,ADVANCED BIOMEDICAL TECHNOLOGIES INC.,16JAN2007,20SEP2019,26,10,4,71,25,7,0,13,133,2
0001333141,005250,GRACE (W R) & CO,31DEC1950,31DEC2019,CUSIP,FRESENIUS MEDICAL CARE AG & CO. KGAA,20DEC2005,28AUG2019,0,0,0,0,0,0,0,1,401,2
0000884219,005342,MONEYGRAM INTERNATIONAL INC,31DEC1950,31DEC2018,CUSIP,VIAD CORP,13JAN1994,04FEB2020,26,0,1,80,0,2,30,223,1339,2
0000884219,005342,MONEYGRAM INTERNATIONAL INC,31DEC1950,31DEC2018,CUSIP,VIAD CORP,13JAN1994,04FEB2020,26,0,1,80,0,2,30,223,1339,2
0001346917,005372,GUENTHER SYSTEMS INC,,,COMPH,GENTOR RESOURCES INC.,16DEC2005,28JAN2020,6,1,0,18,0,2,0,50,232,2
0001346917,005372,GUENTHER SYSTEMS INC,,,COMPH,GENTOR RESOURCES INC.,16DEC2005,28JAN2020,6,1,0,18,0,2,0,50,232,2
0000048732,005742,CENTERPOINT ENERGY INC,31DEC1951,31DEC2018,CUSIP,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,04JAN1994,07NOV2019,30,1,3,82,1,3,5,110,402,3
0000048732,005742,CENTERPOINT ENERGY INC,31DEC1951,31DEC2018,CUSIP,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,04JAN1994,07NOV2019,30,1,3,82,1,3,5,110,402,3
0000048732,005742,CENTERPOINT ENERGY INC,31DEC1951,31DEC2018,CUSIP,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,04JAN1994,07NOV2019,30,1,3,82,1,3,5,110,402,3
0000048732,005742,CENTERPOINT ENERGY INC,31DEC1951,31DEC2018,CUSIP,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,04JAN1994,07NOV2019,30,1,3,82,1,3,5,110,402,3
0001042773,005742,CENTERPOINT ENERGY INC,31DEC1951,31DEC2018,CUSIP,CENTERPOINT ENERGY RESOURCES CORP,12AUG1997,07AUG2019,26,1,3,70,0,3,0,78,255,3
0001042773,005742,CENTERPOINT ENERGY INC,31DEC1951,31DEC2018,CUSIP,CENTERPOINT ENERGY RESOURCES CORP,12AUG1997,07AUG2019,26,1,3,70,0,3,0,78,255,3
0001042773,005742,CENTERPOINT ENERGY INC,31DEC1951,31DEC2018,CUSIP,CENTERPOINT ENERGY RESOURCES CORP,12AUG1997,07AUG2019,26,1,3,70,0,3,0,78,255,3
0000919745,005841,CYPRESS BIOSCIENCE INC,31DEC1983,31DEC2009,CUSIP,MIDATECH PHARMA US INC.,14MAY1996,14DEC2015,27,0,8,64,0,4,34,249,865,2
0000919745,005841,CYPRESS BIOSCIENCE INC,31DEC1983,31DEC2009,CUSIP,MIDATECH PHARMA US INC.,14MAY1996,14DEC2015,27,0,8,64,0,4,34,249,865,2
0000919745,005841,CYPRESS BIOSCIENCE INC,31DEC1983,31DEC2009,CUSIP,MIDATECH PHARMA US INC.,14MAY1996,14DEC2015,27,0,8,64,0,4,34,249,865,2
0000919745,005841,CYPRESS BIOSCIENCE INC,31DEC1983,31DEC2009,CUSIP,MIDATECH PHARMA US INC.,14MAY1996,14DEC2015,27,0,8,64,0,4,34,249,865,2
0000919745,005841,CYPRESS BIOSCIENCE INC,31DEC1983,31DEC2009,CUSIP,MIDATECH PHARMA US INC.,14MAY1996,14DEC2015,27,0,8,64,0,4,34,249,865,2
0000919745,005841,CYPRESS BIOSCIENCE INC,31DEC1983,31DEC2009,CUSIP,MIDATECH PHARMA US INC.,14MAY1996,14DEC2015,27,0,8,64,0,4,34,249,865,2
0001052489,006062,AMERICAN BANKNOTE CORP,31DEC1967,31DEC2004,CUSIP,AMERICAN BANK NOTE HOLOGRAPHICS INC,12JAN1998,07MAR2008,12,2,2,32,3,0,10,61,262,3
0001052489,006062,AMERICAN BANKNOTE CORP,31DEC1967,31DEC2004,CUSIP,AMERICAN BANK NOTE HOLOGRAPHICS INC,12JAN1998,07MAR2008,12,2,2,32,3,0,10,61,262,3
0001317880,006252,JERRYS INC,30SEP1974,30SEP1996,COMPH,"PLANDAI BIOTECHNOLOGY, INC.",16MAR2005,15FEB2019,28,9,8,62,16,12,0,35,193,2
0001317880,006252,JERRYS INC,30SEP1974,30SEP1996,COMPH,"PLANDAI BIOTECHNOLOGY, INC.",16MAR2005,15FEB2019,28,9,8,62,16,12,0,35,193,2
0000054476,006334,GREAT PLAINS ENERGY INC,31DEC1951,31DEC2017,CUSIP,"EVERGY METRO, INC.",05JAN1994,06NOV2019,27,0,2,79,0,1,102,290,822,2
0000054476,006334,GREAT PLAINS ENERGY INC,31DEC1951,31DEC2017,CUSIP,"EVERGY METRO, INC.",05JAN1994,06NOV2019,27,0,2,79,0,1,102,290,822,2
0000057183,006547,SPIRE INC,30SEP1951,30SEP2019,FDATE,SPIRE MISSOURI INC,14JAN1994,26NOV2019,27,0,1,83,0,5,9,147,369,2
0000057183,006547,SPIRE INC,30SEP1951,30SEP2019,FDATE,SPIRE MISSOURI INC,14JAN1994,26NOV2019,27,0,1,83,0,5,9,147,369,2
0000711665,006598,PHOTOMEDEX INC-OLD,31DEC1982,31DEC2010,CUSIP,"GADSDEN PROPERTIES, INC.",19JUL1996,07JAN2020,39,5,10,83,11,2,28,260,952,2
0000711665,006598,PHOTOMEDEX INC-OLD,31DEC1982,31DEC2010,CUSIP,"GADSDEN PROPERTIES, INC.",19JUL1996,07JAN2020,39,5,10,83,11,2,28,260,952,2
0000711665,006598,PHOTOMEDEX INC-OLD,31DEC1982,31DEC2010,CUSIP,"GADSDEN PROPERTIES, INC.",19JUL1996,07JAN2020,39,5,10,83,11,2,28,260,952,2
0000711665,006598,PHOTOMEDEX INC-OLD,31DEC1982,31DEC2010,CUSIP,"GADSDEN PROPERTIES, INC.",19JUL1996,07JAN2020,39,5,10,83,11,2,28,260,952,2
0000061339,006932,MGE ENERGY INC,31DEC1958,31DEC2018,CUSIP,MADISON GAS & ELECTRIC CO,02MAR1994,06NOV2019,26,0,1,81,0,3,8,133,323,2
0000704366,006981,MAMMATECH CORP,31AUG1983,31AUG2010,CUSIP,"WOD RETAIL SOLUTIONS, INC.",05JUL1996,21NOV2019,44,13,8,106,23,10,4,45,244,2
0000704366,006981,MAMMATECH CORP,31AUG1983,31AUG2010,CUSIP,"WOD RETAIL SOLUTIONS, INC.",05JUL1996,21NOV2019,44,13,8,106,23,10,4,45,244,2
0000704366,006981,MAMMATECH CORP,31AUG1983,31AUG2010,CUSIP,"WOD RETAIL SOLUTIONS, INC.",05JUL1996,21NOV2019,44,13,8,106,23,10,4,45,244,2
0000704366,006981,MAMMATECH CORP,31AUG1983,31AUG2010,CUSIP,"WOD RETAIL SOLUTIONS, INC.",05JUL1996,21NOV2019,44,13,8,106,23,10,4,45,244,2
0000701304,006984,MAMMOTH RESOURCES INC,30JUN1984,30JUN1991,CUSIP,SYMPHONY TELECOM CORP,08FEB2000,18SEP2008,14,3,1,41,6,3,1,8,82,2
0000701304,006984,MAMMOTH RESOURCES INC,30JUN1984,30JUN1991,CUSIP,SYMPHONY TELECOM CORP,08FEB2000,18SEP2008,14,3,1,41,6,3,1,8,82,2
0000701304,006984,MAMMOTH RESOURCES INC,30JUN1984,30JUN1991,CUSIP,SYMPHONY TELECOM CORP,08FEB2000,18SEP2008,14,3,1,41,6,3,1,8,82,2
0001288741,007146,MCCORMICK & CO INC,30NOV1963,30NOV2019,CUSIP,MCCORMICK & SCHMICKS SEAFOOD RESTAURANTS INC.,29APR2004,14FEB2013,9,1,1,24,0,1,20,72,432,3
0001288741,007146,MCCORMICK & CO INC,30NOV1963,30NOV2019,CUSIP,MCCORMICK & SCHMICKS SEAFOOD RESTAURANTS INC.,29APR2004,14FEB2013,9,1,1,24,0,1,20,72,432,3
0000754813,007336,ION NETWORKS INC  -OLD,31MAR1984,31DEC2008,CUSIP,"HEALTHWAREHOUSE.COM, INC.",15AUG1995,20APR2017,47,8,17,86,15,10,31,144,729,2
0000754813,007336,ION NETWORKS INC  -OLD,31MAR1984,31DEC2008,CUSIP,"HEALTHWAREHOUSE.COM, INC.",15AUG1995,20APR2017,47,8,17,86,15,10,31,144,729,2
0000754813,007336,ION NETWORKS INC  -OLD,31MAR1984,31DEC2008,CUSIP,"HEALTHWAREHOUSE.COM, INC.",15AUG1995,20APR2017,47,8,17,86,15,10,31,144,729,2
0000754813,007336,ION NETWORKS INC  -OLD,31MAR1984,31DEC2008,CUSIP,"HEALTHWAREHOUSE.COM, INC.",15AUG1995,20APR2017,47,8,17,86,15,10,31,144,729,2
0000700923,007635,MYR GROUP INC -OLD,31DEC1968,31DEC1999,FDATE,MYR GROUP INC.,04APR1995,04FEB2020,17,0,1,50,0,0,23,123,788,3
0000700923,007635,MYR GROUP INC -OLD,31DEC1968,31DEC1999,FDATE,MYR GROUP INC.,04APR1995,04FEB2020,17,0,1,50,0,0,23,123,788,3
